Scan Number	m/z	Intensity	Relative	Segment Number	Flags	
23	580.121643066406	155767.140625	2.63909960653364	1		
23	725.160766601563	152956.484375	2.59147979548932	1		
23	534.188537597656	151462.890625	2.56617444121415	1		
23	681.225341796875	147442.859375	2.49806467911953	1		
23	405.298034667969	146872.265625	2.48839734019892	1		
23	654.140258789063	144920.890625	2.45533598352231	1		
23	684.199951171875	144727.515625	2.45205970917866	1		
23	461.112854003906	138220.96875	2.34182191943169	1		
23	362.332763671875	133348.71875	2.25927336004785	1		
23	399.345092773438	132522.53125	2.24527559968951	1		
23	404.234191894531	130248.421875	2.2067462851454	1		
23	597.150390625	129021.09375	2.18595216156594	1		
23	421.320159912109	119623.6953125	2.02673584405934	1		
23	579.103149414063	119220.2265625	2.01990003635881	1		
23	443.139038085938	110578.2109375	1.87348186405312	1		
23	609.203369140625	109820.8125	1.86064956893379	1		
23	726.161254882813	106274.7578125	1.80057019986417	1		
23	430.886291503906	104050.7578125	1.7628898681756	1		
23	745.18798828125	102666.203125	1.73943191859557	1		
23	432.883453369141	99136.421875	1.67962826378977	1		
23	373.042327880859	98024.6640625	1.66079220123025	1		
23	433.329284667969	97365.0625	1.64961683897427	1		
23	611.181762695313	96641.1953125	1.63735265024969	1		
23	352.236694335938	95157.1640625	1.61220930954096	1		
23	449.110687255859	93560.59375	1.58515926505394	1	M	
23	682.225769042969	90776.609375	1.53799134479054	1		
23	506.102722167969	89781.796875	1.52113663931934	1		
23	535.184753417969	88121.5625	1.49300796039363	1		
23	419.371002197266	87271.328125	1.47860278356673	1		
23	523.130859375	86997.2734375	1.47395958593822	1	F	
23	818.208068847656	83977.7421875	1.42280089032491	1		
23	357.047698974609	83929.296875	1.42198010100667	1		
23	405.355621337891	82836.078125	1.40345813827818	1		
23	431.066497802734	82761.2734375	1.40219075274002	1		
23	448.347869873047	82560	1.39878065836722	1		
23	685.200012207031	81244.3359375	1.37648989475853	1		
23	653.122009277344	80989.9140625	1.37217932792452	1		
23	363.170257568359	80107.640625	1.35723132623162	1		
23	361.220367431641	78527.703125	1.33046308475355	1		
23	727.159423828125	77587.859375	1.31453969256136	1		
23	517.157409667969	77309.9921875	1.30983190128871	1		
23	537.163696289063	76553.6875	1.29701813713286	1		
23	889.229125976563	73289.90625	1.24172121264592	1		
23	489.053527832031	71986.3671875	1.21963587800383	1		
